video_id,final_views,num_country,num_country_quantile,final_views_quantile,quantile
-Ca963sj1y0,151200,1,0,1,1
-rI9klFwez8,111156,1,0,1,1
0hnN8vgQ7d8,86210,1,0,1,1
1ox5BhDJkxI,92861,1,0,1,1
3DMnm7SOHsU,93282,1,0,1,1
4aC_cjGNZEM,91050,1,0,1,1
5Oenb29pvHU,157097,1,0,1,1
80F5Ig5Fgn8,90829,1,0,1,1
8QbxUrucrts,183182,1,0,1,1
9p5sz4G-KZE,102456,1,0,1,1
BkDaknrwgXo,80982,1,0,1,1
C7ojRzo-wTI,80542,1,0,1,1
Dik-aqhT-cI,95222,1,0,1,1
EZxy6vcNP-A,127756,1,0,1,1
HKH626FCMgE,131405,1,0,1,1
KWTpz3ZgB74,123316,1,0,1,1
LRqlPDdFxR0,113344,1,0,1,1
Lg7aDHciQ-o,172828,1,0,1,1
LitviXZ_oC8,125836,1,0,1,1
LlYtpBElB2Q,84256,1,0,1,1
PI7R45WdJGM,144546,1,0,1,1
Pnbe4szaMe4,128826,1,0,1,1
SD_HDgI8T_c,124212,1,0,1,1
Wpel5xkWqSk,157619,1,0,1,1
XBtAbgyeRiI,80254,1,0,1,1
ZoZ1590gBTY,86302,1,0,1,1
ZztFhg2BjPE,82529,1,0,1,1
_inSsdcu9x4,113741,1,0,1,1
bzVLoxrKg0I,187623,1,0,1,1
ci2vYQieK9c,79696,1,0,1,1
giiAr_t-TI4,150622,1,0,1,1
hnYP5x_bifE,184123,1,0,1,1
i2EF8kiPkGU,100609,1,0,1,1
kDjm7i10jJw,143659,1,0,1,1
nXto8iQOG5E,95439,1,0,1,1
o3SSHtJFY3U,137225,1,0,1,1
pD3NC5Rr9SM,164742,1,0,1,1
qCpV5pmitIk,112103,1,0,1,1
qGjrmx0JNF4,100453,1,0,1,1
sl5sm79V-4k,96934,1,0,1,1
tgA696yIuQA,147072,1,0,1,1
ySjYBUdRvqs,95567,1,0,1,1
0nDKTOPDW1w,78745,1,0,1,1
2Dv1Cwi8B7A,150140,1,0,1,1
Bp0hJo8yDL8,134218,1,0,1,1
C2yADLjU_8E,139231,1,0,1,1
LLXPr_Jcwkg,124723,1,0,1,1
MvoMvSlsqUg,122468,1,0,1,1
OKVplDtx3w8,166048,1,0,1,1
PA7UxmZ-1HI,116954,1,0,1,1
V5-tvf4UhoE,125538,1,0,1,1
dCZ3VoWKlZ8,182450,1,0,1,1
dczvAyKD2kE,177103,1,0,1,1
gSGSrnG3ZjE,156757,1,0,1,1
kM87TnnIJvs,114624,1,0,1,1
mdJp9Ptt9Hs,172024,1,0,1,1
qmxkghCyVwg,99298,1,0,1,1
tZBbtoiL-Mc,140681,1,0,1,1
ujLxVzOx00A,172339,1,0,1,1
wsZhi5RAoEI,168745,1,0,1,1
xCI8emgcUZY,108047,1,0,1,1
3ANpvSRV_ew,132390,1,0,1,1
3_C-p2w632k,120446,1,0,1,1
6VgR4b-J4rs,115645,1,0,1,1
9gt5oGrpYpI,170547,1,0,1,1
CBYpspMt_KI,121503,1,0,1,1
JYGtOllr_WI,121783,1,0,1,1
MqGTrsWHTlA,131930,1,0,1,1
P8-jlBEOZ6g,180166,1,0,1,1
PAnyX4j8jto,194759,1,0,1,1
YXtb1mVEVtI,147649,1,0,1,1
cxgpwRSKspA,110366,1,0,1,1
dmVg9lAZm5Q,188955,1,0,1,1
jv73jHeKees,105878,1,0,1,1
p62GH1nSM-g,167059,1,0,1,1
